"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"fitted.Predictor.00054",0.0112543807923042,0.00246872527579058,0.00714358614671702,0.0110069085451929,0.0167811164685625,0.0105331031352686
"fitted.Predictor.00055",0.0299328800352924,0.0034917447928538,0.0235757170833719,0.0297527180615879,0.0373459842443781,0.0294369761837566
"fitted.Predictor.00056",0.0179549147279301,0.00244851330659473,0.0135930507896721,0.0177997595460212,0.0232140010301168,0.0175144448228883
"fitted.Predictor.00057",0.0233463599471388,0.00281604898519041,0.0182512156636705,0.0231910319295405,0.0293459902121749,0.022913350587442
"fitted.Predictor.00058",0.0177200108413959,0.00227965876771772,0.0136251940261193,0.0175860514875632,0.0225899905203527,0.0173412890504474
"fitted.Predictor.00059",0.0272903120487231,0.00313174916210447,0.0215748210101809,0.0271323972112357,0.0339334879346371,0.0268595285907028
"fitted.Predictor.00060",0.0482330664578621,0.00629690308590296,0.0369531936791561,0.0478412870166083,0.0617925307288315,0.0471531586166741
"fitted.Predictor.00061",0.0106625695098812,0.00197111541557318,0.00730426784384712,0.0104893926179925,0.0150104984407592,0.0101567695204209
"fitted.Predictor.00062",0.00774117646626245,0.00183484439277803,0.00474311286031416,0.00753902947367549,0.011895410846069,0.00714958308715275
"fitted.Predictor.00063",0.00493089447628605,0.00117797084073138,0.00301028776657845,0.00479976282465857,0.00760158076747751,0.00454748312769203
"fitted.Predictor.00064",0.0972624735485557,0.011986517166728,0.0754911209544152,0.0966439814688814,0.122606073894786,0.0954893205955521
"fitted.Predictor.00065",0.0152666644220638,0.00214596112663243,0.0114589010918089,0.0151258112908213,0.0198880816584798,0.0148648341643006
"fitted.Predictor.00066",0.0198662721849579,0.00248189237210958,0.0153970649542742,0.0197233958590829,0.0251638924267973,0.0194644725877139
"fitted.Predictor.00067",0.0232361562425668,0.00277000118881925,0.0182071349994937,0.023089019722646,0.0291258071239778,0.0228291977853227
"fitted.Predictor.00068",0.00657167350071763,0.00157328663658485,0.00400697344084958,0.00639638129882925,0.0101389116149564,0.00605904770329521
"fitted.Predictor.00069",0.0234558519259786,0.00278936516182415,0.0182976451800783,0.0233405291609522,0.0293076968055857,0.0231528337147809
"fitted.Predictor.00070",0.0339932730932643,0.0047123438185904,0.0256105503400283,0.0336920923394892,0.0441094405667308,0.0331260073920566
"fitted.Predictor.00071",0.0111308533569519,0.00261453961717544,0.00684818781091772,0.0108462691607805,0.0170409674036956,0.0102970904079905
"fitted.Predictor.00072",0.0392692258274768,0.0043576684343619,0.0311095084663913,0.0391212551475554,0.0483463215920921,0.0389069693776492
"fitted.Predictor.00073",0.0101789098364056,0.00318226576955124,0.00528301976036088,0.00973280792208939,0.0176353911020346,0.00889677707025262
"fitted.Predictor.00074",0.0340182235951757,0.00455948488041077,0.025867548537192,0.0337387188714805,0.0437844890706373,0.0332239824276735
"fitted.Predictor.00075",0.0335823024266261,0.0042534962658868,0.0259194092670729,0.0333400353798345,0.0426466857199755,0.0328964654121197
