"","param","mean","sd","lower","upper"
"55",55,0.182788044610661,0.112065576012973,-0.0272673558806892,0.408849718466259
"56",56,0.151437992552998,0.120261573485167,-0.0760682082259739,0.396498013367308
"57",57,0.193423186773163,0.1216960348226,-0.0365067580425256,0.439208263516694
"58",58,0.174871489635282,0.141715968685188,-0.0912376932342933,0.464679107827578
"59",59,0.205979194507386,0.103465692449305,0.00896503781553686,0.411008886640609
"60",60,0.11991224784035,0.119740729425886,-0.113067171711497,0.362251685421498
"61",61,0.219853107008669,0.140444312295023,-0.0415794977188272,0.50437530753312
"62",62,0.191444018183603,0.151204988683904,-0.0936736059426138,0.500647510354057
"63",63,0.274069983762608,0.130860342627606,0.0285893758755279,0.532689728335098
"64",64,0.159645690162732,0.134491879762339,-0.0934399042955521,0.434476634109752
"65",65,0.202040659421652,0.129019767630382,-0.0380944995879999,0.462778878381985
"66",66,0.110677819063174,0.115321275091794,-0.111686972352908,0.345775254832286
"67",67,0.187419657510996,0.144921556450102,-0.0841840873731863,0.483666131303831
"68",68,0.0884678504138504,0.095797556108729,-0.0993203403099848,0.2804915209971
"69",69,0.160930164866476,0.100568383805634,-0.0315793185059057,0.362363945589495
"70",70,-0.159194114149813,0.122099653613385,-0.40966444437512,0.0653339336176659
"71",71,-0.0640422948495543,0.13617544113546,-0.338051364827795,0.201731344832407
"72",72,-0.106806497601072,0.160681209245557,-0.435018422788535,0.207442873372253
"73",73,-0.24101550626063,0.158990185981094,-0.563984473807083,0.0483373552971538
"74",74,-0.138517000992795,0.132147380984247,-0.408133248560451,0.112951350814882
"75",75,-0.163275501758899,0.131549599427586,-0.43181401095379,0.0837688566603281
"76",76,-0.00581328758431112,0.121853615036698,-0.251363360085956,0.238397489988138
"77",77,-0.192962220172147,0.139766892071879,-0.473405893682079,0.0714267755491162
"78",78,-0.209228875455395,0.150511695047737,-0.514944477839053,0.0708216700434863
"79",79,-0.00276211961794585,0.143444752361236,-0.288068678928354,0.281105365978148
"80",80,0.064117246047224,0.11113173869893,-0.153456572454169,0.290044078259123
"81",81,-0.0433177179216496,0.104882603417117,-0.25819739912567,0.161234328762055
"82",82,-0.144183717660178,0.138708077554055,-0.43001727375669,0.117756614245602
"83",83,-0.0994310367992216,0.123248920162399,-0.354136538859176,0.133696119218718
"84",84,0.0436365999767188,0.155707234262766,-0.266439530660812,0.358491932958254
"85",85,-0.0341002180701787,0.123931449194181,-0.285873538495014,0.212032835423393
"86",86,-0.137155163677463,0.119202262120255,-0.381626256931291,0.0838315263119071
"87",87,-0.139664622152371,0.127730775044811,-0.40300317612052,0.0981645679528165
"88",88,0.01105667497694,0.140190293874609,-0.269384551459206,0.28906518143006
"89",89,-0.196228780185006,0.140379020288055,-0.480843252750175,0.0659867900839305
"90",90,-0.264204922035451,0.146072381222361,-0.554560246107058,0.00747205633263506
"91",91,0.0708774691625775,0.121552348058301,-0.165722204911151,0.318662436235274
"92",92,-0.179512847307312,0.137438835208219,-0.461413725801835,0.0742611336433732
"93",93,0.0196961556032966,0.135702862251996,-0.252434683620776,0.292412582507728
"94",94,0.0476665460055798,0.124173628780849,-0.198100312749914,0.297270457567311
"95",95,0.0561435405248018,0.105244741240085,-0.14828872407456,0.270804913611938
"96",96,-0.16345117711228,0.140247881165607,-0.45165257507765,0.0991898453249615
"97",97,-0.143945365135589,0.176025510891312,-0.50443957441899,0.191954073271714
"98",98,0.0889484211447235,0.166869723759763,-0.237130325841667,0.429126247740767
"99",99,-0.094113723645914,0.179655529590697,-0.460751314389034,0.255013088887992
"100",100,-0.0581080289646584,0.165870630431204,-0.394404692056964,0.267181412846556
"101",101,-0.0749294278704803,0.134595274584242,-0.351784579188744,0.186501565935932
"102",102,0.100444730152274,0.164377188243208,-0.218735247677167,0.43564822173143
"103",103,-0.16909365251932,0.134567830845171,-0.444145009658962,0.0829884640274869
"104",104,-0.160582041702517,0.138092556234032,-0.445315556251355,0.0961431958417246
"105",105,0.20372172751712,0.0961604362149886,0.020214285295462,0.393505418871494
"106",106,0.163056912799378,0.102395481316173,-0.0303683362187189,0.368775874819489
"107",107,0.126946300462245,0.114420942977356,-0.0967608089814024,0.358255575308361
"108",108,0.0633594137205341,0.113357316390516,-0.160642942738603,0.291656829226009
"109",109,0.102766301041937,0.126194135758167,-0.144703482477394,0.3578640285716
"110",110,0.0607208759954924,0.108607933006528,-0.15162474211341,0.281006690911657
"111",111,0.10796656565993,0.138824046329706,-0.165890666382909,0.388431354063562
"112",112,0.11739609355746,0.112194056491845,-0.103300126377129,0.343220280064934
"113",113,0.115444623552344,0.121820311801156,-0.124931602210048,0.360350647087038
"114",114,0.00466662633088085,0.0945090395816029,-0.187919286647505,0.188792675188742
"115",115,0.0258796299946312,0.109177313836523,-0.19355474063839,0.242282311893441
"116",116,0.0720664419684804,0.176591734785152,-0.283611728619755,0.424415912692878
"117",117,0.145785826123027,0.1075006951606,-0.0597765773156632,0.362591790499473
"118",118,0.0924522828760046,0.136968834211003,-0.17396430145951,0.370938499452678
"119",119,0.00125142017374096,0.101559055272934,-0.204322214791402,0.199828461066499
"120",120,0.123391946550828,0.115412945544173,-0.102613715703882,0.356264684096794
"121",121,0.0812037683305842,0.110265859884404,-0.132741121091005,0.304315018300901
"122",122,0.141206891725607,0.11342430293086,-0.0788334267153282,0.368120563148912
"123",123,0.12817023036285,0.0853195245298443,-0.0350780821730462,0.298470907499363
"124",124,0.135085566160512,0.107394819538911,-0.0714792146350789,0.352471059109607
"125",125,0.083279711661806,0.125990168385619,-0.16451791871345,0.337645797098574
"126",126,0.0792778865794963,0.0879049381675348,-0.0924545741265637,0.254982788405059
"127",127,0.0476517046971196,0.116832579537559,-0.183625088097487,0.281943652815764
"128",128,0.131020095251066,0.112136345115951,-0.0865069087184436,0.357093668887428
"129",129,0.0826158271484375,0.0929803143762471,-0.0986669604065758,0.268861686150806
"130",130,0.119830591410445,0.127859801857568,-0.131728519732301,0.377205535337218
"131",131,0.116348492991634,0.132915180504743,-0.145416810737625,0.383706695062821
"132",132,0.230255080227162,0.113274970811801,0.0181597629014774,0.45572265346464
"133",133,0.173936451869282,0.113042703157921,-0.0401237223392167,0.402637402753719
"134",134,0.12828557369721,0.123194357962784,-0.112294455699681,0.378026466272792
"135",135,-0.0752612017357821,0.112682350223758,-0.300810139681714,0.148738907466436
"136",136,-0.234137241801696,0.167788912724086,-0.575848646504628,0.0804517227979513
"137",137,-0.144781883679287,0.108660216516933,-0.363091860695147,0.0641338331760881
"138",138,-0.0682041539405919,0.138229584537724,-0.344206378717337,0.208458325237676
"139",139,-0.174066303205633,0.135666939132777,-0.449820410837181,0.0846380114448871
"140",140,-0.151031947291979,0.115642376692632,-0.384811902947618,0.0702901103834584
"141",141,-0.137272640716384,0.126316555882599,-0.393756628521884,0.10705549846618
"142",142,-0.137644338850702,0.130363340491557,-0.401870302253428,0.115027772819573
"143",143,-0.220410171000637,0.156914992573537,-0.539750714154489,0.0744233348911442
"144",144,-0.11076336108344,0.16491114572848,-0.443329313921678,0.213865908738041
"145",145,-0.172471262238107,0.128734594318763,-0.43242251900304,0.0736780475617573
"146",146,-0.105472400835184,0.141475453938398,-0.390325295500103,0.174048573504591
"147",147,-0.155399082044534,0.141110002039613,-0.442035615577786,0.116859444926183
"148",148,-0.137038609312622,0.125909724663689,-0.392141870435503,0.106893310288888
"149",149,-0.137207685297124,0.147197216978334,-0.435957151769567,0.14947904788951
"150",150,-0.120505720251905,0.15404386047213,-0.43253857762158,0.182174133651325
"151",151,-0.107669155525269,0.296026502429918,-0.70748424257258,0.484101854430469
"152",152,-0.123611124320969,0.177517380498491,-0.483646953435306,0.22613895648613
"153",153,-0.117866709782675,0.151115116652978,-0.424774314801302,0.178300619626206
"154",154,-0.112690394176997,0.133006189255367,-0.381931811395446,0.148245850578551
"155",155,-0.106206062677977,0.210876461890447,-0.532640247995848,0.31363272888942
"156",156,-0.111675773279301,0.146499140735786,-0.407856295658484,0.177019128232118
"157",157,-0.134634601757605,0.171470489617762,-0.483275348190456,0.201233809831031
"158",158,0.0162799223305335,0.132032956138772,-0.238352990287521,0.285493739894612
"159",159,-0.0329652979276003,0.13495569282356,-0.300842031602165,0.239364293313126
"160",160,0.0376187996869678,0.139688936104504,-0.229001301169416,0.323050735935728
"161",161,-0.0433785938508826,0.108901203602705,-0.258976253393866,0.175070884251367
"162",162,-0.069429416846586,0.107752112703056,-0.28400224947904,0.143961058436184
"163",163,-0.0448580347631862,0.14622177988007,-0.335257697465486,0.248865020421645
"164",164,-0.0741497258561446,0.123797166151875,-0.322710714459979,0.171649753296589
"165",165,-0.120238843010389,0.158421635845233,-0.442016322789617,0.189804597226725
"166",166,-0.0044933189540462,0.105412737633257,-0.209185368503403,0.208386345563773
"167",167,-0.134216538459803,0.131441477017504,-0.400238575908258,0.120058580331076
"168",168,0.0164106109284057,0.129345853995924,-0.232126723798465,0.280430040557801
"169",169,-0.0447619532456968,0.155878489180589,-0.356017890696933,0.268969382010522
"170",170,-0.199135425049333,0.175117504892423,-0.557359955956382,0.134564949149863
"171",171,-0.170276157277694,0.146505087404072,-0.468319214828875,0.110803091741297
"172",172,-0.163584738790633,0.129130299077241,-0.425791355754905,0.0834671760447498
"173",173,-0.173759530381426,0.143334579066486,-0.464476545768475,0.101018072603067
"174",174,-0.175073760912967,0.152843626049027,-0.485324414357167,0.118533971165723
"175",175,-0.183688425245399,0.14440569753981,-0.477544747246772,0.0913265778463373
"176",176,-0.201225137041269,0.152508405966155,-0.511848586844789,0.0875019022039711
"177",177,-0.116074835505861,0.132939802244418,-0.385505711284608,0.144322474300767
"178",178,-0.0690187976158229,0.126561665873871,-0.322748945587567,0.182997928810215
"179",179,-0.0373709319162007,0.117674494963048,-0.26886036017771,0.199574421201478
"180",180,-0.105412190776335,0.123385945830895,-0.354996667321481,0.135975806717419
"181",181,-0.0879517473197669,0.120681022728979,-0.330224418657193,0.151216141163671
"182",182,-0.117330143398409,0.137634592491716,-0.39677172945566,0.151707601302658
"183",183,-0.0886138826442112,0.113693754296796,-0.316671157597539,0.136144633799639
"184",184,-0.108860182979913,0.131505049072741,-0.374466485473303,0.149807101695047
"185",185,-0.0536040908150362,0.123834015162357,-0.300844557837755,0.194975013509487
"186",186,-0.0692775173000512,0.123118627948397,-0.316250705799901,0.176249878294281
"187",187,-0.0627123597770725,0.120105067612254,-0.303232860329771,0.177148581537632
"188",188,-0.0864858122523658,0.137860456047053,-0.365135043437079,0.186762471563767
"189",189,-0.0709152701674761,0.135465863509887,-0.343120605497163,0.19981212035631
"190",190,-0.0602804236151281,0.108785531321841,-0.277280143411677,0.157399634074282
"191",191,-0.0532801742341919,0.123316776475217,-0.299346915633667,0.193619380605457
"192",192,-0.119152971513195,0.113251166830082,-0.348851008872035,0.100134657890168
"193",193,-0.0776656997226578,0.121932853378863,-0.322433336662855,0.164768019041111
"194",194,-0.151912491467132,0.15584053637095,-0.468709855055684,0.150182799507449
"195",195,-0.179003936717665,0.20596182986247,-0.597974773441123,0.220140083257875
"196",196,-0.16934259996596,0.175059283157303,-0.523111620376227,0.16954554559397
"197",197,-0.166581220075526,0.156098242201656,-0.482790954651901,0.134716578870506
"198",198,-0.179667490746473,0.156061931353592,-0.495723030846309,0.119916100349236
"199",199,-0.147846711767705,0.111337791431775,-0.376193936249439,0.0573379570357561
"200",200,-0.150127353985837,0.135970004666425,-0.430536365638431,0.104553822448222
